SKU_ID,SKU,Instruction
1,KNORR BLOCK NOODLES CHATPATA 18X264G,
2,LIPTON YELLOW LABEL BLCK TP A05 12X950G,
3,SURF EXCEL HS STD POWDER B02 180X45G,
4,KNORR BLOCK NOODLES CHICKEN 18X264G,
5,0,Remove
6,SURF EXCEL HS STD POWDER 48X250G,
7,LIPTON YELLOW LABEL BLCK TP A05 120X95G,
8,SURF EXCEL-COMFORT MF 24ML(1+1)BND12X1KG,
9,PONDS FOAM WHT BEAUTY 4x6x100g,
10,FAIR N LOVELY FCE MSTRZR MVIT 240X8ML,
11,FAIR N LOVELY FACE MSTRZR CRM MVIT 72X16ML,
12,FAIR N LOVELY FC MSTRZR CRM MVITB01 72X25G,
13,KNORR DIPS SLSA SCE CHLIGRLC A06 24X285G,
14,PONDS FOAM WHT BEAUTY B01 48x50g,
15,SUNSILK SHMP LONG HEALTHY 24X200ML,
16,CLEAR SHAMPOO BLCK SHINE A01 24X200ML,
17,LIFEBUOY SKN CLNG T0TAL SHRC01 24X3X115G,
18,LUX VALENTINA WHITE V01 72X150G,
19,LIFEBUOY SHAMPOO HERBAL B01 24X200ML,
20,SUNSILK CNDTNR LONG HEALTHY 24X180ML,
21,LUX BW MAGICAL SPELL LP NEW 12X220ML,
22,LIFEBUOY SKN CLNSNG BAR TOTALB02 72X155G,
23,BB SUPREME BLCK TEA PKT B04 12X950G,
24,COMFORT MORNING FRESH 12x400ml,
25,CLEAR SHAMPOO COOL BLACK A01 48X90ML,
26,RAFHAN AMB DSRT VNLA CSTRD C01 36X300G,
27,KNORR BLOCK NOODLES CHATTPATTA 72X40G,
28,FAIR LOVELY MV N01 72X70ML,
29,SUNLIGHT HS STD POWDER PINK 12X1KG,
30,LIPTON GREEN TEA BAG LEMON C02 100X25S,
31,SUNSILK SHAMPOO BLACKSHINE D03 12X400ML,
32,VIM DW GEL PK LMN REFIL POU A01 12X750ML,
33,KNORR KETCHUP TOMATO CAT 24X285G,
34,LIFEBUOY SHAMPOO HERBAL 180X10ML,
35,SUNSILK SHMP BLACK SHINE A03 360X5ML,
36,SUNSILK CONDITIONER BLCK SHINE 24X180ML,
37,CLEAR SHMP COOL BLACK 360X5ML,
38,LIFEBUOY SHMP HERBAL 12X400ML,
39,DOMEX TOILET BLUE PAK-AW 24x500ml,
40,SUNSILK SHMP THICK N LONG 24X200ML,
41,PONDS FC MSTRZR CRM ESC LTN B01 24X200ML,
42,SUNSILK REG RNS COND HAIRFALL 24X180ML,
43,VIM HDW GEL LEMON A04 14X500ML,
44,DOVE SHAMPOO IMX INTNE RPAR A01 24X200ML,
45,LUX VALENTINA RED V01 72X150G,
46,NOODLE CHATPATTA 66 gm X 72,
47,BB SUPREME BLCK TEA PKT C01 60X190G,
48,KNORR CHICKEN POWDER SACHET 144X10G,Remove
49,BB SUPREME BLCK TEA PKT C01 120X95G,
50,BB SUPREME BLCK TEA PKT B10 24X475G,
51,FAIR LOVELY BB CRM 24X40G,
52,BB SUPREME BLCK TEA PKT B01 320X16G,
53,LUX BAR PEACH CRM TRIO C04 24X3X150G,
54,LIFEBUOY LIQUID SOAP TOTAL 8X1000ML,
55,FAIR LOVELY FACWASH MV REGM (1+1) 48X50G,
56,FAIR   LOVELY FACE WASH 48X80G,
57,SURF EXCEL HS STD POWDER 6X2KG,
58,LUX BTH ADTV PEACH   CRM A01 36X220ML,
59,FAIR LOVELY BB CRM 48X18G,
60,LIPTON GREEN TEA BAG JASMINE C02 100X25S,
61,LUX PW BAR PEACH CRM SHR C03 18X4X115G,
62,NOODLE CHKN 66 gm X 72,
63,LUX SKN CLNSNG BAR PEACH CRM C01 72X155,
64,KNORR BLOCK NOODLES CHICKEN 72X40G,
65,LIFEBUOY BAR TOTAL TRIO 36X3X146G,
66,LIFEBUOY TOTAL HAND WASH 12X140ML,
67,LIPTON YELLOW LABEL BLCK TP C04 60X190G,
68,SUNLIGHT LS STD POWDER GREEN 12X1KG,
69,PONDS FC MSTRZR CRM ESC LTN B01 48X100ML,
70,LIFEBUOY LIQUID SOAP CARE A02 8X1000ML,
71,COMFORT LILY FRESH 12x400ml,
72,BB SUPREME BLACK TEA PACKET 200X28G,
73,DOMEX TOILET BLUE 12X250ML,Remove
74,KNORR DIPSUNSILKALSA SAUCES CHLIGRLC 12X800G,
75,SURF EXCEL HS STD POWDER B01 24X500G,
76,KNORR KETCHUP TOMATO 12X800G,
77,LIPTON YELLOW LABEL BLCK TP B10 24X475G,
