Variables,DataType,Influencer_Cat,Variable_Type,ProcessID,Threshold
tons,float,Target,Numerical,1,0.5
YEAR_c,int,Year,Categorical,1,0.5
WEEK_c,int,Week,Categorical,1,0.5
month_c,int,Month,Categorical,1,0.5
START_DATE,datetime,Start_Date,Categorical,1,0.5
END_DATE,datetime,End_Date,Categorical,1,0.5
Region,string,Region,Categorical,1,0.5
m_sku_desc,string,SKU,Categorical,1,0.5
media_spend_value,float,Media,Numerical,1,0.5
media_lag_1,float,Media,Numerical,1,0.5
price_lag_1,float,Price,Numerical,1,0.5
incentive_applied_pop_count,float,Incentive,Numerical,1,0.5
kg_flag,bit,Incentive,Categorical,1,0.5
avg_bonus,float,Incentive,Numerical,1,0.5
incentive_applied_pop_count_lag_3,float,Incentive,Numerical,1,0.5
incentive_applied_pop_count_lagdiff_2_3,float,Incentive,Numerical,1,0.5
bonus_lag_3,float,Incentive,Numerical,1,0.5
freeitems_lag_2,float,Incentive,Numerical,1,0.5
freeitems_lagdiff_3_4,float,Incentive,Numerical,1,0.5
unit_lagdiff_3_4,float,Incentive,Numerical,1,0.5
min_con_price_per_gram,float,Price,Numerical,1,0.5
media_lag_2,float,Media,Numerical,1,0.5
price_lag_2,float,Price,Numerical,1,0.5
bonus,float,Incentive,Numerical,1,0.5
max_bonus,float,Incentive,Numerical,1,0.5
avg_freeitems,float,Incentive,Numerical,1,0.5
incentive_applied_pop_count_lag_4,float,Incentive,Numerical,1,0.5
incentive_applied_pop_count_lagdiff_3_4,float,Incentive,Numerical,1,0.5
bonus_lag_4,float,Incentive,Numerical,1,0.5
freeitems_lag_3,float,Incentive,Numerical,1,0.5
unit_lag_1,float,Incentive,Numerical,1,0.5
kg_lag_1,float,Incentive,Numerical,1,0.5
avg_con_price_per_gram,float,Price,Numerical,1,0.5
media_lag_3,float,Media,Numerical,1,0.5
price_lag_3,float,Price,Numerical,1,0.5
freeitems,float,Incentive,Numerical,1,0.5
max_freeitems,float,Incentive,Numerical,1,0.5
avg_unit,float,Incentive,Numerical,1,0.5
incentive_applied_pop_count_lagdiff_1_2,float,Incentive,Numerical,1,0.5
bonus_lag_1,float,Incentive,Numerical,1,0.5
bonus_lagdiff_1_2,float,Incentive,Numerical,1,0.5
freeitems_lag_4,float,Incentive,Numerical,1,0.5
unit_lag_2,float,Incentive,Numerical,1,0.5
kg_lag_2,float,Incentive,Numerical,1,0.5
max_con_price_per_gram,float,Price,Numerical,1,0.5
media_lag_4,float,Media,Numerical,1,0.5
price_lag_4,float,Price,Numerical,1,0.5
unit,float,Incentive,Numerical,1,0.5
max_unit,float,Incentive,Numerical,1,0.5
avg_kg,float,Incentive,Numerical,1,0.5
bonus_lag_2,float,Incentive,Numerical,1,0.5
bonus_lagdiff_2_3,float,Incentive,Numerical,1,0.5
freeitems_lagdiff_1_2,float,Incentive,Numerical,1,0.5
unit_lag_3,float,Incentive,Numerical,1,0.5
kg_lag_3,float,Incentive,Numerical,1,0.5
media_lagdiff_1_2,float,Media,Numerical,1,0.5
price_lagdiff_1_2,float,Price,Numerical,1,0.5
kg,float,Incentive,Numerical,1,0.5
max_kg,float,Incentive,Numerical,1,0.5
incentive_applied_pop_count_lag_1,float,Incentive,Numerical,1,0.5
bonus_lagdiff_3_4,float,Incentive,Numerical,1,0.5
freeitems_lagdiff_2_3,float,Incentive,Numerical,1,0.5
unit_lag_4,float,Incentive,Numerical,1,0.5
kg_lag_4,float,Incentive,Numerical,1,0.5
media_lagdiff_2_3,float,Media,Numerical,1,0.5
price_lagdiff_2_3,float,Price,Numerical,1,0.5
bonus_flag,bit,Incentive,Categorical,1,0.5
min_bonus,float,Incentive,Numerical,1,0.5
incentive_applied_pop_count_lag_2,float,Incentive,Numerical,1,0.5
freeitems_lag_1,float,Incentive,Numerical,1,0.5
min_unit,float,Incentive,Numerical,1,0.5
min_kg,float,Incentive,Numerical,1,0.5
kg_lagdiff_3_4,float,Incentive,Numerical,1,0.5
kg_lagdiff_2_3,float,Incentive,Numerical,1,0.5
freeItems_flag,bit,Incentive,Categorical,1,0.5
unit_flag,bit,Incentive,Categorical,1,0.5
brand_desc,none,none,none,1,0.5
